Entity,Code,Year,Deaths attributed to household air pollution,Deaths attributed to ambient air pollution,Population,World region according to OWID
Afghanistan,AFG,2019,171,143,37856125,Asia
Algeria,DZA,2019,2,48,43294551,Africa
Angola,AGO,2019,101,60,32375633,Africa
Antigua and Barbuda,ATG,2019,0,19,91377,North America
Argentina,ARG,2019,1,29,44973469,South America
Armenia,ARM,2019,6,70,2903975,Asia
Australia,AUS,2019,0,10,25482714,Oceania
Australia and New Zealand (UN SDG),,2019,0,10,,
Austria,AUT,2019,0,17,8880876,Europe
Azerbaijan,AZE,2019,15,114,10110483,Asia
Bahamas,BHS,2019,0,10,394684,North America
Bahrain,BHR,2019,0,68,1485675,Asia
Bangladesh,BGD,2019,103,66,164913060,Asia
Barbados,BRB,2019,0,19,281216,North America
Belarus,BLR,2019,3,68,9435415,Europe
Belgium,BEL,2019,0,15,11490623,Europe
Belize,BLZ,2019,22,21,385833,North America
Benin,BEN,2019,160,77,12726760,Africa
Bhutan,BTN,2019,46,57,764830,Asia
Bolivia,BOL,2019,29,54,11671386,South America
Bosnia and Herzegovina,BIH,2019,72,55,3345532,Europe
Botswana,BWA,2019,99,55,2332082,Africa
Brazil,BRA,2019,7,23,207455459,South America
Brunei,BRN,2019,0,20,442690,Asia
Bulgaria,BGR,2019,,63,6975466,Europe
Burkina Faso,BFA,2019,155,84,20961956,Africa
Burundi,BDI,2019,168,71,12255339,Africa
Cambodia,KHM,2019,123,60,16481305,Asia
Cameroon,CMR,2019,148,101,25506095,Africa
Canada,CAN,2019,0,8,37782934,North America
Cape Verde,CPV,2019,41,59,514116,Africa
Central African Republic,CAF,2019,253,98,4944708,Africa
Central and Southern Asia (UN SDG),,2019,80,84,,
Chad,TCD,2019,177,95,16685223,Africa
Chile,CHL,2019,0,18,19197748,South America
China,CHN,2019,40,64,1423520357,Asia
Colombia,COL,2019,9,24,49907987,South America
Comoros,COM,2019,139,46,786582,Africa
Congo,COG,2019,129,66,5616656,Africa
Costa Rica,CRI,2019,4,15,4999549,North America
Cote d'Ivoire,CIV,2019,134,86,28193014,Africa
Croatia,HRV,2019,0,31,3986338,Europe
Cuba,CUB,2019,13,31,11202847,North America
Cyprus,CYP,2019,0,16,1286669,Europe
Czechia,CZE,2019,0,33,10554872,Europe
Democratic Republic of Congo,COD,2019,172,72,92947450,Africa
Denmark,DNK,2019,0,13,5814618,Europe
Djibouti,DJI,2019,143,59,1088710,Africa
Dominican Republic,DOM,2019,16,27,10894043,North America
East Timor,TLS,2019,150,61,1300946,Asia
Eastern and South-Eastern Asia (UN SDG),,2019,45,60,,
Ecuador,ECU,2019,6,23,17340017,South America
Egypt,EGY,2019,1,105,107553159,Africa
El Salvador,SLV,2019,12,31,6222316,North America
Equatorial Guinea,GNQ,2019,130,59,1670184,Africa
Eritrea,ERI,2019,194,78,3240194,Africa
Estonia,EST,2019,0,13,1326822,Europe
Eswatini,SWZ,2019,127,66,1179885,Africa
Ethiopia,ETH,2019,117,46,115737384,Africa
Europe (UN),UN_EUR,2019,9,27,749504127,
Europe and Northern America (UN SDG),,2019,6,23,,
Fiji,FJI,2019,91,37,914906,Oceania
Finland,FIN,2019,0,7,5521754,Europe
France,FRA,2019,0,10,65729460,Europe
Gabon,GAB,2019,31,53,2267711,Africa
Gambia,GMB,2019,173,90,2456847,Africa
Georgia,GEO,2019,29,69,3796722,Asia
Germany,DEU,2019,0,15,83559184,Europe
Ghana,GHA,2019,141,89,31258943,Africa
Greece,GRC,2019,0,23,10718581,Europe
Grenada,GRD,2019,19,30,115995,North America
Guatemala,GTM,2019,63,40,17103803,North America
Guinea,GIN,2019,189,94,13034349,Africa
Guinea-Bissau,GNB,2019,182,89,1967704,Africa
Guyana,GUY,2019,50,52,807668,South America
Haiti,HTI,2019,176,50,11105165,North America
Honduras,HND,2019,77,49,9943637,North America
Hungary,HUN,2019,0,42,9770346,Europe
Iceland,ISL,2019,0,8,360709,Europe
India,IND,2019,77,83,1389030307,Asia
Indonesia,IDN,2019,45,58,272489381,Asia
Iran,IRN,2019,9,51,87051649,Asia
Iraq,IRQ,2019,4,87,41192172,Asia
Ireland,IRL,2019,0,13,4933493,Europe
Israel,ISR,2019,0,15,8657466,Asia
Italy,ITA,2019,0,15,60130136,Europe
Jamaica,JAM,2019,17,22,2823275,North America
Japan,JPN,2019,0,12,126699421,Asia
Jordan,JOR,2019,1,38,10671893,Asia
Kazakhstan,KAZ,2019,19,68,19209556,Asia
Kenya,KEN,2019,113,33,51202829,Africa
Kiribati,KIR,2019,215,49,123928,Oceania
Kuwait,KWT,2019,0,45,4442201,Asia
Kyrgyzstan,KGZ,2019,48,88,6494036,Asia
Laos,LAO,2019,153,69,7237635,Asia
Latin America and the Caribbean (UN SDG),,2019,15,27,,
Latin America and the Caribbean (UN),UN_LAC,2019,15,27,642195534,
Latvia,LVA,2019,0,40,1914267,Europe
Least Developed Countries (LDCs),,2019,69,34,,
Lebanon,LBN,2019,,59,5794601,Asia
